Я иду;ich gehe;
Он идет;er geht;
Она идет;sie geht;
Оно идет;es geht;
Мы идем;wir gehen;
Вы идете;sie gehen;
Вы идете (ув);Sie gehen;
Ты идешь;du gehst;
Вы идете (мн);ihr geht;
