Я прибываю;ich komme;
Он прибывает;er kommt;
Она прибывает;sie kommt;
Оно прибывает;es kommt;
Мы прибываем;wir kommen;
Вы прибываете;sie kommen;
Вы прибываете (ув);Sie kommen;
Ты прибываешь;du kommst;
Вы прибываете (мн);ihr kommt;
