Я проживаю;ich wohne;
Он проживает;er wohnt;
Она проживает;sie wohnt;
Оно проживает;es wohnt;
Мы проживаем;wir wohnen;
Они проживают;sie wohnen;
Вы проживаете (ув);Sie wohnen;
Ты проживаешь;du wohnst;
Вы проживаете (мн);ihr wohnt
